pCO2	Water temp [°C]	LF 20°C [µS/cm]	P ges Ganimede [mg/l]	Sauerstoff gel. O2 [mg/l]	TOC [mg/l]	Summe Kationen [mval/l]	Summe Anionen [mval/l]	pHWert	Date	mWert (alkalinity) [mmol/l]	Na fil [mg/l]	K fil [mg/l]	Ca fil [mg/l]	Mg fil [mg/l]	Nitrat NO3 [mg/l]	Chlorid Cl [mg/l]	Sulfat SO4 [mg/l] 
8.71E+02	8.8	456	0.1	11.4	4.9	4.5	4.27	8	1.7	1.7	37	4.3	41	8.7	15.2	60	30.4
7.45E+02	5.7	519	0.06	9.1	5.4	4.71	4.6	8	2.4	1.5	49	3.8	36	8	14	82	26.9
6.95E+02	4.1	587	0.04	13.3	3.7	4.75	5.14	8.1	3.4	1.8	45	2.4	40	8.7	11.9	89	30.8
6.92E+02	3.7	482	0.06	12.5	3.5	4.6	4.57	8.1	4.2	1.8	36	3.7	42	10	14.5	66	32.5
2.91E+03	9.7	399	0.06	11.5	6.1	3.94	3.89	7.4	4.29	1.4	34.35	3.32	34.05	7.78	8.5	65	25.1
6.60E+02	15.7	526	0.11	8.5	4.7	4.82	5.06	8.3	6.24	2.4	32.76	4.24	48.98	10.08	6.3	67	32
1.03E+03	19.2	672	0.14	9.3	3.4	7.72	7.92	8.3	7.22	3.6	51	7.9	79	16.24	6.2	95	74.3
9.85E+02	17	734	0.23	10.3	4.2	7.6	7.5	8.3	8.13	3.55	50.49	7.68	75.68	17.13	7.6	81	74.1
1.14E+03	14.5	732	0.14	10.3	3.1	6.95	7.65	8.2	9.16	3.35	45.85	7.35	70.6	14.88	7.2	102	63
8.03E+02	9.8	679	0.11	10.8	3.2	6.23	6.56	8.3	10.14	3.15	43.99	7.18	61.11	12.94	5.3	83	47.2
2.06E+03	8.5	346	0.08	11.5	8.7	3.15	3.3	7.6	11.11	1.6	21.66	3.53	31.1	6.63	11.6	37	22.5
1.03E+03	6.8	586	0.08	12.3	3.3	5.37	5.65	8.1	12.9	2.6	40	5.25	52	11	11.4	75	36.4
1.69E+03	8.6	1183	0.3	9	5.2	13.08	12.42	8.2	1.7	5.4	73	15	101	54	34.2	124	143
1.31E+03	5.6	1122	0.24	6.4	5.7	11.67	11.09	8.2	2.4	4.3	76	13	86	45	30	135	120
